Time(s),IDD(A),ISS(A),P1(V),P0(V),P3(V),P2(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P4(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P5(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),P6(V),P7(V),AixBi(V),AixBi(V),AixBi(V),AixBi(V),B2(V),B3(V),A1(V),A2(V),B0(V),B1(V),A0(V),A3(V)
     0.000e-9,  0.000000e-3,  0.000000e-3,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.010e-9,  4.874703e-3,  0.000000e-3,     0.002,     0.002,     0.001,     0.002,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.001,     0.002,     0.001,     0.001,     0.001,     0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.020e-9,  9.699693e-3,  0.000000e-3,     0.006,     0.006,     0.005,     0.005,     0.003,     0.003,     0.003,     0.003,     0.004,     0.003,     0.003,     0.003,     0.003,     0.004,     0.003,     0.003,     0.003,     0.003,     0.004,     0.008,     0.003,     0.003,     0.003,     0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.030e-9, 14.365021e-3,  0.000000e-3,     0.013,     0.014,     0.011,     0.012,     0.006,     0.006,     0.006,     0.006,     0.009,     0.006,     0.006,     0.006,     0.006,     0.008,     0.006,     0.006,     0.006,     0.006,     0.008,     0.018,     0.006,     0.006,     0.006,     0.006,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.040e-9, 18.719938e-3,  0.000000e-3,     0.024,     0.026,     0.020,     0.023,     0.012,     0.012,     0.012,     0.012,     0.016,     0.012,     0.012,     0.012,     0.012,     0.015,     0.012,     0.012,     0.012,     0.012,     0.016,     0.032,     0.012,     0.012,     0.012,     0.012,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000
     0.050e-9, 22.601870e-3,  0.000000e-3,     0.040,     0.042,     0.032,     0.038,     0.018,     0.018,     0.018,     0.018,     0.026,     0.018,     0.018,     0.018,     0.018,     0.025,     0.018,     0.018,     0.018,     0.018,     0.026,     0.050,     0.018,     0.018,     0.018,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
     0.060e-9, 25.464895e-3,  0.000000e-3,     0.060,     0.063,     0.049,     0.057,     0.026,     0.026,     0.026,     0.026,     0.040,     0.026,     0.026,     0.026,     0.026,     0.038,     0.026,     0.026,     0.026,     0.026,     0.039,     0.073,     0.026,     0.026,     0.026,     0.026,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
     0.070e-9, 27.963583e-3,  0.000000e-3,     0.085,     0.090,     0.069,     0.081,     0.034,     0.035,     0.034,     0.034,     0.057,     0.034,     0.034,     0.034,     0.035,     0.054,     0.034,     0.034,     0.034,     0.035,     0.055,     0.097,     0.034,     0.034,     0.035,     0.034,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
     0.080e-9, 29.737810e-3,  0.000000e-3,     0.115,     0.122,     0.094,     0.110,     0.043,     0.044,     0.043,     0.043,     0.077,     0.043,     0.043,     0.043,     0.044,     0.073,     0.043,     0.043,     0.043,     0.044,     0.075,     0.122,     0.043,     0.043,     0.044,     0.043,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
     0.090e-9, 30.866732e-3,  0.000000e-3,     0.151,     0.160,     0.123,     0.143,     0.050,     0.052,     0.050,     0.050,     0.101,     0.050,     0.050,     0.050,     0.052,     0.096,     0.050,     0.050,     0.050,     0.052,     0.099,     0.147,     0.050,     0.050,     0.052,     0.050,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000
     0.100e-9, 31.479612e-3,  0.000000e-3,     0.192,     0.204,     0.156,     0.183,     0.056,     0.060,     0.056,     0.056,     0.128,     0.056,     0.056,     0.056,     0.060,     0.123,     0.056,     0.056,     0.056,     0.060,     0.126,     0.168,     0.056,     0.056,     0.060,     0.056,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
     0.110e-9, 31.769756e-3,  0.000000e-3,     0.238,     0.253,     0.195,     0.227,     0.061,     0.067,     0.061,     0.061,     0.160,     0.061,     0.061,     0.061,     0.067,     0.152,     0.061,     0.061,     0.061,     0.067,     0.156,     0.186,     0.061,     0.061,     0.067,     0.061,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
     0.120e-9, 31.419333e-3,  0.000000e-3,     0.290,     0.308,     0.237,     0.276,     0.065,     0.073,     0.065,     0.065,     0.195,     0.065,     0.065,     0.065,     0.073,     0.186,     0.065,     0.065,     0.065,     0.073,     0.191,     0.200,     0.065,     0.065,     0.073,     0.065,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
     0.130e-9, 29.519492e-3,  0.000000e-3,     0.347,     0.368,     0.284,     0.330,     0.067,     0.077,     0.067,     0.067,     0.233,     0.067,     0.067,     0.067,     0.077,     0.223,     0.067,     0.067,     0.067,     0.077,     0.229,     0.211,     0.067,     0.067,     0.077,     0.067,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
     0.140e-9, 25.379208e-3,  0.000000e-3,     0.408,     0.432,     0.334,     0.388,     0.069,     0.081,     0.068,     0.068,     0.275,     0.069,     0.068,     0.068,     0.081,     0.263,     0.069,     0.068,     0.068,     0.081,     0.270,     0.220,     0.069,     0.068,     0.081,     0.068,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.000
     0.150e-9, 18.964406e-3,  0.000000e-3,     0.470,     0.498,     0.388,     0.448,     0.069,     0.083,     0.069,     0.069,     0.319,     0.069,     0.069,     0.069,     0.083,     0.305,     0.069,     0.069,     0.069,     0.083,     0.313,     0.226,     0.069,     0.069,     0.083,     0.069,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
     0.160e-9, 17.203233e-3,  0.000000e-3,     0.533,     0.564,     0.443,     0.508,     0.069,     0.083,     0.068,     0.068,     0.365,     0.069,     0.068,     0.068,     0.083,     0.349,     0.069,     0.068,     0.068,     0.083,     0.359,     0.231,     0.069,     0.068,     0.083,     0.068,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
     0.170e-9, 18.493465e-3,  0.000000e-3,     0.593,     0.626,     0.499,     0.567,     0.068,     0.083,     0.067,     0.067,     0.411,     0.068,     0.067,     0.067,     0.083,     0.394,     0.068,     0.067,     0.067,     0.083,     0.404,     0.234,     0.068,     0.067,     0.083,     0.067,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
     0.180e-9, 20.344704e-3,  0.000000e-3,     0.649,     0.683,     0.553,     0.622,     0.066,     0.081,     0.065,     0.065,     0.457,     0.066,     0.065,     0.065,     0.081,     0.438,     0.066,     0.065,     0.065,     0.081,     0.450,     0.236,     0.066,     0.065,     0.081,     0.065,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
     0.190e-9, 21.586621e-3,  0.000000e-3,     0.699,     0.732,     0.605,     0.672,     0.064,     0.079,     0.062,     0.062,     0.502,     0.064,     0.062,     0.062,     0.079,     0.482,     0.064,     0.062,     0.062,     0.079,     0.494,     0.237,     0.064,     0.062,     0.079,     0.062,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.000
     0.200e-9, 20.400191e-3,  0.000000e-3,     0.742,     0.772,     0.654,     0.715,     0.061,     0.075,     0.059,     0.059,     0.545,     0.061,     0.059,     0.059,     0.075,     0.524,     0.061,     0.059,     0.059,     0.075,     0.536,     0.237,     0.061,     0.059,     0.075,     0.059,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
     0.210e-9, 18.220009e-3,  0.000000e-3,     0.776,     0.803,     0.698,     0.751,     0.057,     0.071,     0.055,     0.055,     0.585,     0.057,     0.055,     0.055,     0.071,     0.564,     0.057,     0.055,     0.055,     0.071,     0.575,     0.235,     0.057,     0.055,     0.071,     0.055,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
     0.220e-9, 14.179378e-3,  0.000000e-3,     0.802,     0.823,     0.736,     0.780,     0.053,     0.067,     0.052,     0.052,     0.623,     0.053,     0.052,     0.052,     0.067,     0.601,     0.053,     0.052,     0.052,     0.067,     0.612,     0.233,     0.053,     0.052,     0.067,     0.052,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
     0.230e-9, 12.799689e-3,  0.000000e-3,     0.819,     0.835,     0.766,     0.802,     0.049,     0.062,     0.048,     0.048,     0.657,     0.049,     0.048,     0.048,     0.062,     0.636,     0.049,     0.048,     0.048,     0.062,     0.645,     0.231,     0.049,     0.048,     0.062,     0.048,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
     0.240e-9, 11.709393e-3,  0.000000e-3,     0.829,     0.838,     0.790,     0.816,     0.045,     0.057,     0.044,     0.044,     0.688,     0.045,     0.044,     0.044,     0.057,     0.667,     0.045,     0.044,     0.044,     0.057,     0.675,     0.228,     0.045,     0.044,     0.057,     0.044,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000
     0.250e-9, 11.025377e-3,  0.000000e-3,     0.831,     0.834,     0.806,     0.823,     0.041,     0.052,     0.040,     0.041,     0.714,     0.041,     0.040,     0.041,     0.052,     0.695,     0.041,     0.040,     0.041,     0.052,     0.701,     0.225,     0.041,     0.040,     0.052,     0.041,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
     0.260e-9, 10.442564e-3,  0.000000e-3,     0.827,     0.824,     0.815,     0.825,     0.037,     0.048,     0.036,     0.037,     0.737,     0.037,     0.036,     0.037,     0.048,     0.719,     0.037,     0.036,     0.037,     0.048,     0.723,     0.222,     0.037,     0.036,     0.048,     0.037,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
     0.270e-9,  8.990890e-3,  0.000000e-3,     0.819,     0.811,     0.817,     0.821,     0.034,     0.043,     0.033,     0.034,     0.756,     0.034,     0.033,     0.034,     0.043,     0.740,     0.034,     0.033,     0.034,     0.043,     0.742,     0.218,     0.034,     0.033,     0.043,     0.034,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
     0.280e-9,  8.130711e-3,  0.000000e-3,     0.807,     0.796,     0.814,     0.812,     0.030,     0.038,     0.029,     0.030,     0.771,     0.030,     0.029,     0.030,     0.038,     0.757,     0.030,     0.029,     0.030,     0.038,     0.758,     0.214,     0.030,     0.029,     0.038,     0.030,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
     0.290e-9,  7.929628e-3,  0.000000e-3,     0.793,     0.780,     0.805,     0.800,     0.026,     0.034,     0.025,     0.027,     0.781,     0.026,     0.025,     0.027,     0.034,     0.770,     0.026,     0.025,     0.027,     0.034,     0.770,     0.210,     0.026,     0.025,     0.034,     0.027,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.000
     0.300e-9,  7.607647e-3,  0.000000e-3,     0.778,     0.765,     0.793,     0.787,     0.022,     0.029,     0.022,     0.023,     0.787,     0.022,     0.022,     0.023,     0.029,     0.779,     0.022,     0.022,     0.023,     0.029,     0.778,     0.205,     0.022,     0.022,     0.029,     0.023,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
     0.310e-9,  6.670824e-3,  0.000000e-3,     0.763,     0.752,     0.780,     0.773,     0.019,     0.025,     0.018,     0.020,     0.789,     0.019,     0.018,     0.020,     0.025,     0.784,     0.019,     0.018,     0.020,     0.025,     0.783,     0.201,     0.019,     0.018,     0.025,     0.020,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
     0.320e-9,  6.111866e-3,  0.000000e-3,     0.751,     0.741,     0.766,     0.759,     0.016,     0.021,     0.015,     0.017,     0.787,     0.016,     0.015,     0.017,     0.021,     0.785,     0.016,     0.015,     0.017,     0.021,     0.784,     0.196,     0.016,     0.015,     0.021,     0.017,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
     0.330e-9,  5.610476e-3,  0.000000e-3,     0.741,     0.733,     0.753,     0.748,     0.013,     0.017,     0.012,     0.014,     0.782,     0.013,     0.012,     0.014,     0.017,     0.783,     0.013,     0.012,     0.014,     0.017,     0.782,     0.190,     0.013,     0.012,     0.017,     0.014,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
     0.340e-9,  5.647379e-3,  0.000000e-3,     0.734,     0.730,     0.743,     0.739,     0.010,     0.014,     0.010,     0.011,     0.775,     0.010,     0.010,     0.011,     0.014,     0.778,     0.010,     0.010,     0.011,     0.014,     0.777,     0.185,     0.010,     0.010,     0.014,     0.011,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000
     0.350e-9,  5.997893e-3,  0.000000e-3,     0.730,     0.729,     0.736,     0.734,     0.007,     0.011,     0.007,     0.009,     0.767,     0.007,     0.007,     0.009,     0.011,     0.772,     0.007,     0.007,     0.009,     0.011,     0.771,     0.179,     0.007,     0.007,     0.011,     0.009,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
     0.360e-9,  5.980959e-3,  0.000000e-3,     0.730,     0.732,     0.732,     0.731,     0.005,     0.008,     0.005,     0.006,     0.759,     0.005,     0.005,     0.006,     0.008,     0.764,     0.005,     0.005,     0.006,     0.008,     0.764,     0.174,     0.005,     0.005,     0.008,     0.006,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
     0.370e-9,  5.946357e-3,  0.000000e-3,     0.733,     0.736,     0.731,     0.732,     0.003,     0.005,     0.003,     0.004,     0.752,     0.003,     0.003,     0.004,     0.005,     0.757,     0.003,     0.003,     0.004,     0.005,     0.757,     0.168,     0.003,     0.003,     0.005,     0.004,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
     0.380e-9,  5.890225e-3,  0.000000e-3,     0.738,     0.742,     0.734,     0.735,     0.002,     0.003,     0.002,     0.003,     0.746,     0.002,     0.002,     0.003,     0.003,     0.750,     0.002,     0.002,     0.003,     0.003,     0.750,     0.162,     0.002,     0.002,     0.003,     0.003,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
     0.390e-9,  5.813256e-3,  0.000000e-3,     0.744,     0.748,     0.738,     0.740,     0.000,     0.001,     0.000,     0.001,     0.741,     0.000,     0.000,     0.001,     0.001,     0.745,     0.000,     0.000,     0.001,     0.001,     0.746,     0.157,     0.000,     0.000,     0.001,     0.001,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.750,     0.000
     0.400e-9,  5.821073e-3,  0.000000e-3,     0.749,     0.753,     0.743,     0.746,    -0.001,    -0.000,    -0.001,     0.000,     0.739,    -0.001,    -0.001,     0.000,    -0.000,     0.742,    -0.001,    -0.001,     0.000,    -0.000,     0.742,     0.151,    -0.001,    -0.001,    -0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750
     0.410e-9,  6.167043e-3,  0.000000e-3,     0.754,     0.756,     0.748,     0.751,    -0.002,    -0.001,    -0.002,    -0.001,     0.739,    -0.002,    -0.002,    -0.001,    -0.001,     0.740,    -0.002,    -0.002,    -0.001,    -0.001,     0.741,     0.144,    -0.002,    -0.002,    -0.001,    -0.001,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750
     0.420e-9,  6.941831e-3,  0.000000e-3,     0.756,     0.757,     0.752,     0.754,    -0.002,    -0.002,    -0.002,    -0.002,     0.740,    -0.002,    -0.002,    -0.002,    -0.002,     0.740,    -0.002,    -0.002,    -0.002,    -0.002,     0.741,     0.138,    -0.002,    -0.002,    -0.002,    -0.002,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750
     0.430e-9,  8.433920e-3,  0.000000e-3,     0.757,     0.756,     0.755,     0.756,    -0.003,    -0.003,    -0.003,    -0.002,     0.743,    -0.003,    -0.003,    -0.002,    -0.003,     0.742,    -0.003,    -0.003,    -0.002,    -0.003,     0.742,     0.132,    -0.003,    -0.003,    -0.003,    -0.002,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750
     0.440e-9,  9.969800e-3,  0.000000e-3,     0.756,     0.754,     0.757,     0.756,    -0.003,    -0.003,    -0.003,    -0.003,     0.746,    -0.003,    -0.003,    -0.003,    -0.003,     0.744,    -0.003,    -0.003,    -0.003,    -0.003,     0.744,     0.126,    -0.003,    -0.003,    -0.003,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750
     0.450e-9, 11.267579e-3,  0.000000e-3,     0.754,     0.752,     0.756,     0.755,    -0.003,    -0.004,    -0.003,    -0.003,     0.749,    -0.003,    -0.003,    -0.003,    -0.004,     0.746,    -0.003,    -0.003,    -0.003,    -0.004,     0.747,     0.121,    -0.003,    -0.003,    -0.004,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750
     0.460e-9, 12.340468e-3,  0.000000e-3,     0.751,     0.750,     0.755,     0.753,    -0.003,    -0.004,    -0.003,    -0.003,     0.751,    -0.003,    -0.003,    -0.003,    -0.004,     0.749,    -0.003,    -0.003,    -0.003,    -0.004,     0.749,     0.115,    -0.003,    -0.003,    -0.004,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750
     0.470e-9, 12.890467e-3,  0.000000e-3,     0.749,     0.748,     0.754,     0.751,    -0.003,    -0.004,    -0.003,    -0.003,     0.753,    -0.003,    -0.003,    -0.003,    -0.004,     0.751,    -0.003,    -0.003,    -0.003,    -0.004,     0.751,     0.109,    -0.003,    -0.003,    -0.004,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750
     0.480e-9, 12.581931e-3,  0.000000e-3,     0.748,     0.747,     0.752,     0.749,    -0.003,    -0.003,    -0.003,    -0.003,     0.754,    -0.003,    -0.003,    -0.003,    -0.003,     0.753,    -0.003,    -0.003,    -0.003,    -0.003,     0.753,     0.103,    -0.003,    -0.003,    -0.003,    -0.003,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750
     0.490e-9, 11.894414e-3,  0.000000e-3,     0.747,     0.747,     0.750,     0.748,    -0.002,    -0.003,    -0.002,    -0.002,     0.754,    -0.002,    -0.002,    -0.002,    -0.003,     0.753,    -0.002,    -0.002,    -0.002,    -0.003,     0.753,     0.098,    -0.002,    -0.002,    -0.003,    -0.002,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750
     0.500e-9, 10.159570e-3,  0.000000e-3,     0.747,     0.747,     0.748,     0.747,    -0.002,    -0.003,    -0.002,    -0.002,     0.754,    -0.002,    -0.002,    -0.002,    -0.003,     0.753,    -0.002,    -0.002,    -0.002,    -0.003,     0.754,     0.093,    -0.002,    -0.002,    -0.003,    -0.002,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750
     0.510e-9,  7.442885e-3,  0.000000e-3,     0.748,     0.747,     0.748,     0.748,    -0.002,    -0.002,    -0.002,    -0.002,     0.753,    -0.002,    -0.002,    -0.002,    -0.002,     0.753,    -0.002,    -0.002,    -0.002,    -0.002,     0.754,     0.089,    -0.002,    -0.002,    -0.002,    -0.002,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750
     0.520e-9,  5.896893e-3,  0.000000e-3,     0.749,     0.748,     0.748,     0.749,    -0.001,    -0.002,    -0.001,    -0.002,     0.752,    -0.001,    -0.001,    -0.002,    -0.002,     0.752,    -0.001,    -0.001,    -0.002,    -0.002,     0.753,     0.084,    -0.001,    -0.001,    -0.002,    -0.002,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750
     0.530e-9,  5.136386e-3,  0.000000e-3,     0.749,     0.746,     0.748,     0.750,    -0.001,    -0.002,    -0.001,    -0.001,     0.751,    -0.001,    -0.001,    -0.001,    -0.002,     0.751,    -0.001,    -0.001,    -0.001,    -0.002,     0.753,     0.080,    -0.001,    -0.001,    -0.002,    -0.001,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750
     0.540e-9,  4.768239e-3,  0.000000e-3,     0.750,     0.739,     0.749,     0.751,    -0.001,    -0.001,    -0.001,    -0.001,     0.750,    -0.001,    -0.001,    -0.001,    -0.001,     0.750,    -0.001,    -0.001,    -0.001,    -0.001,     0.752,     0.075,    -0.001,    -0.001,    -0.001,    -0.001,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750
     0.550e-9,  4.609709e-3,  0.000000e-3,     0.750,     0.723,     0.750,     0.751,    -0.001,    -0.001,    -0.001,    -0.001,     0.749,    -0.001,    -0.001,    -0.001,    -0.001,     0.749,    -0.001,    -0.001,    -0.001,    -0.001,     0.748,     0.070,    -0.001,    -0.001,    -0.001,    -0.001,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.750
     0.560e-9,  4.847342e-3,  0.000000e-3,     0.749,     0.694,     0.751,     0.751,    -0.000,    -0.000,    -0.000,    -0.000,     0.749,    -0.000,    -0.000,    -0.000,    -0.000,     0.749,    -0.000,    -0.000,    -0.000,    -0.000,     0.738,     0.064,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.750
     0.570e-9,  4.991275e-3,  0.000000e-3,     0.741,     0.651,     0.751,     0.751,    -0.000,    -0.000,    -0.000,    -0.000,     0.749,    -0.000,    -0.000,    -0.000,    -0.000,     0.749,    -0.000,    -0.000,    -0.000,    -0.000,     0.721,     0.058,    -0.000,    -0.000,    -0.000,    -0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.750
     0.580e-9,  4.709676e-3,  0.000000e-3,     0.725,     0.597,     0.751,     0.751,     0.000,     0.000,     0.000,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.695,     0.053,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.750
     0.590e-9,  4.395392e-3,  0.000000e-3,     0.696,     0.534,     0.751,     0.750,     0.000,     0.000,     0.000,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.749,     0.000,     0.000,     0.000,     0.000,     0.659,     0.048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750,     0.750
     0.600e-9,  4.393616e-3,  0.000000e-3,     0.653,     0.465,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.614,     0.043,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750
     0.610e-9,  5.571052e-3,  0.000000e-3,     0.599,     0.389,     0.750,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.562,     0.038,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750
     0.620e-9,  6.288924e-3,  0.000000e-3,     0.536,     0.309,     0.750,     0.748,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.504,     0.033,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750
     0.630e-9,  6.329974e-3,  0.000000e-3,     0.466,     0.225,     0.750,     0.744,     0.000,     0.001,     0.000,     0.000,     0.751,     0.000,     0.000,     0.000,     0.001,     0.751,     0.000,     0.000,     0.000,     0.001,     0.439,     0.030,     0.000,     0.000,     0.001,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750
     0.640e-9,  6.135435e-3,  0.000000e-3,     0.390,     0.138,     0.750,     0.735,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.371,     0.027,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.750
     0.650e-9,  5.761699e-3,  0.000000e-3,     0.310,     0.056,     0.750,     0.721,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.300,     0.024,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.750
     0.660e-9,  5.752968e-3,  0.000000e-3,     0.226,    -0.015,     0.750,     0.700,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.230,     0.022,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.750
     0.670e-9,  5.899060e-3,  0.000000e-3,     0.139,    -0.068,     0.750,     0.675,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.163,     0.018,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.750
     0.680e-9,  5.416713e-3,  0.000000e-3,     0.057,    -0.102,     0.750,     0.646,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.100,     0.014,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.750
     0.690e-9,  5.559298e-3,  0.000000e-3,    -0.013,    -0.117,     0.750,     0.616,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.044,     0.013,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.750,     0.750
     0.700e-9,  4.596706e-3,  0.000000e-3,    -0.067,    -0.115,     0.750,     0.588,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,    -0.003,     0.012,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750
     0.710e-9,  2.939171e-3,  0.000000e-3,    -0.101,    -0.099,     0.750,     0.563,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,     0.750,     0.000,     0.000,     0.000,     0.000,    -0.041,     0.013,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.750,     0.750,     0.000,     0.000,     0.000,     0.750
